user,userId,userUrl,publicId,submissionUrl,deleted
"kafitz","253651","https://github.com/kafitz","0x05f43bcaddb1e32d6eb0ed0cb3cd98d2d07a1795464ff97bce0612ae258b5995","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085976722","true"
"evgenyboxer","254095","https://github.com/evgenyboxer","0x09257cc76d19a1fc802814b857ded1ca2680bdd21ba4a07ae833138978fe8718","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085178084","undefined"
"Georgi87","259400","https://github.com/Georgi87","0x2d0b907351b2d015a684b6a262504c128893d2cc2c34bd408800a1cf2626d5f7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091616540","undefined"
"dadepo","272535","https://github.com/dadepo","0x14079c6f949d2831acbeb5eebc9d013b77caf37f436b41c9b5e155d3929ccbfd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086085124","undefined"
"KevinVitale","276137","https://github.com/KevinVitale","0x11871ec91200773521dcacce0b2e636bef45f17b0dffd8c12019f489292e50a4","https://gist.github.com/adaa6694ae10f3ad6fc8cb64cc62a38b","undefined"
"DmitryBespalov","284056","https://github.com/DmitryBespalov","0x30487280e8a799826ef5521dd96cd0f040b3e8f22f4dcb7e39eb8b2fb3e51d29","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087895015","undefined"
"maraoz","287189","https://github.com/maraoz","0x1356ac89386e1871a2dfa40d3fd8b44e9bffbcc576e62ce133327c3867488b8f","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085140563","undefined"
"remyroy","303593","https://github.com/remyroy","0x2a9cde7b54dde7357a070262473c8f566815104c9cfad46bb5a9b60e7cbc01f8","https://gist.github.com/b05b5c72679bc43a1ad88688422f03e3","undefined"
"vfn","308592","https://github.com/vfn","0x1d005304d2aa48464ab98e74f88e488d5fb582ccb189c16b9069c0235b4cafe6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088642678","true"
"shayanb","309108","https://github.com/shayanb","0x2e8d42d7e658a173e509c6eb329aa96a8b67bcce142e3040efa45673829628eb","https://gist.github.com/a85aef16d17479d1c7116141d5a6e100","undefined"
"ericxtang","345743","https://github.com/ericxtang","0x1c239caedb281f6784fe2a43cb90c02c4cf777d4bc65f923027418d27da9d04c","https://gist.github.com/6817a28d45af9b05fef2f80fdd849444","undefined"
"jflo","345937","https://github.com/jflo","0x00753bae1d139645deb8a7408e51d0bb1dd851a32f7887d813b543ce90258f3d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085142213","undefined"
"Armxy","354985","https://github.com/Armxy","0x091498adaabc83299b196f1624a5b011ff6466108bf05c94f5ace61a4da8bdf8","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085299039","true"
"hpmaxi","358059","https://github.com/hpmaxi","0x1050ecfb3266941e247780106cdc06d6961bd4ba45b940bd51c433f972bf5451","https://gist.github.com/22633ba262f5d76f1a8dceaf16807769","undefined"
"katspaugh","381895","https://github.com/katspaugh","0x00208fa58837552ffdd7835194473a9e3bd5646ce48914697c88e075132f72bb","https://gist.github.com/2ab21732f9e1c47d8b70aa490ca44245","undefined"
"numan","388591","https://github.com/numan","0x1dc554f89e0bab6845e4f3b44b1132b4505a4169f9b4e96c9bd640ac1cd7301e","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094307205","undefined"
"payomdousti","388807","https://github.com/payomdousti","0x23de40d7e9f13b5baba91ad64b51b30ae4d8cfd5f5dd5dbfa912724f90e7c1e3","https://gist.github.com/aa76b5cbc4b8091455812db84a6c4a1d","undefined"
"hugo-dc","392723","https://github.com/hugo-dc","0x2b9ad83c28d8f978230895e3e6a5bd328127e3b81f66def7ce1622ca68001672","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088199745","undefined"
"hkalodner","412311","https://github.com/hkalodner","0x1235d58a41d5afd737b3597e1a7f2dda35e3a030d1ad2c0fcb636e2f9122c4f8","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087604515","undefined"
