user,userId,userUrl,publicId,submissionUrl
"hugo-dc","392723","https://github.com/hugo-dc","0x2b9ad83c28d8f978230895e3e6a5bd328127e3b81f66def7ce1622ca68001672","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1088199745"
"hkalodner","412311","https://github.com/hkalodner","0x1235d58a41d5afd737b3597e1a7f2dda35e3a030d1ad2c0fcb636e2f9122c4f8","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087604515"
"fvictorio","417134","https://github.com/fvictorio","0x112591b44eb497c090906f7ce9364b7e87032361d3c87c1c3859dbcd6d6199fb","https://gist.github.com/664f83eddbedee58809fa1927aa85589"
"mhluongo","427505","https://github.com/mhluongo","0x059c21e080e00802736c0b5518acd7184b4ebdb99f475fc7e3898677d7c6fa2a","https://gist.github.com/cae85073ec850d748ec69435767f2b29"
"willscott","428199","https://github.com/willscott","0x2033f6937322d125f270e853e06a3c35e9128cc242fd22d351066f0f30e69c5b","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086178102"
"spalladino","429604","https://github.com/spalladino","0x162d2e820522e33a9b28da6dd412b7ecc14b19bdd30d5d65c9068e505fdc826d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1089332161"
"izqui","447328","https://github.com/izqui","0x2288243d0c9355a9a436998f104ded893e0ae2513e72f4e287933e98a1480c04","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086007891"
"antonydenyer","469160","https://github.com/antonydenyer","0x0d921102c1fc54f780063c937ee61528c32a167d1bf1447e9ad454c8ecc49396","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085902680"
"dizzy","484415","https://github.com/dizzy","0x086bc12786b8b78c040c17a33ce17fcb103df2a3b460521bc77bdaa6f6557874","https://gist.github.com/37389db31768589667cd591b8cea02ed"
"kasey","489222","https://github.com/kasey","0x139e03fa5c3807860bda1c769906df824e0155e01cc7e5127ca3baccf7b995b1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086472006"
"asanso","494825","https://github.com/asanso","0x15406cefab3a8781e5ad3d0499c3781fefa01786721e2128e0c6edb8a09ee986","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085741537"
"tkstanczak","498913","https://github.com/tkstanczak","0x1e5b9d5e4d563ede0cba7aa31a0d814213b0d1d90529490168659c4313d8b1d6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086189160"
"leonardoalt","504195","https://github.com/leonardoalt","0x0b00df7b9fdd306cf4c9dfdb8e0bf4773e38ff697034436bf35a40c54184e6f9","https://gist.github.com/5f2ff33a6afa1d84eaee491b42ed3e3c"
"mcdee","511384","https://github.com/mcdee","0x0e1c5d6c68d4b9992a48c5c5dc87399de0cb57b0628b7456c8589f680ca19fe3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086566462"
"owocki","513929","https://github.com/owocki","0x103322107eb5beabef0704999741c3693870346204ef72fd44b8ecf812828120","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085286006"
"Scooletz","519707","https://github.com/Scooletz","0x1cfddb0aee783b81fd2c58f4f5196e440597a54c2ddfb7472e6750f9d9b3b634","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086567180"
