user,userId,userUrl,publicId,submissionUrl,commentId
"muzi1983","35218563","https://github.com/muzi1983","0x1e69236c7711fe939f8ae0014abad226efc1743dfa96579788786c9654b20316","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085296291","1085296291"
"bapput","35430939","https://github.com/bapput","0x2b9f824e1f61a56f364ccc914002dfc5e69297c24f58c2e093949a5019445e87","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094302619","1094302619"
"febriyanto32","35556156","https://github.com/febriyanto32","0x07cb48dc9bc2f897c61b45e48c8771cfb2adb8c0db2b9a29c1ea99f2f37a271b","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094110330","1094110330"
"zafrans","35588407","https://github.com/zafrans","0x2923a6b5bec0541b4dff4d6fdd7abe1959d8a7f6195b88aa7cdcaa5dc5020b39","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094163907","1094163907"
"oly4life","35639391","https://github.com/oly4life","0x1f80963a02a2cb17d4f62dc1ba35ca8a22c5094a92a1e2c11122023955625b3e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094287703","1094287703"
"adeyemiky","35641999","https://github.com/adeyemiky","0x07e03ee7e9bd7b9f8ca71f4847c41310a48b78c0cf132e3e386991b8f19d9733","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094129786","1094129786"
"Imtiyaza48","35652086","https://github.com/Imtiyaza48","0x1d0affe12a71df1c9d932d38e416b3236c971485ee07419f0b50e2d55e257a0e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094295235","1094295235"
"Ravi0321","35655174","https://github.com/Ravi0321","0x0e37d9674a31f992a13709d28c14528a8628796d1f4d51fd2452a4ed70e24778","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094169270","1094169270"
"riswanda776","35683696","https://github.com/riswanda776","0x18b84b78165ecc14242bb57fb93946f6def1915634a1173493fb76eb41e059f8","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094167396","1094167396"
"ShinoNC","35691992","https://github.com/ShinoNC","0x2a7a86c34540b659950d320201c67531fad2e127cc5be07ea8b065d541b8c8ad","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094177924","1094177924"
"Vezir04","35738628","https://github.com/Vezir04","0x16ae8af8ba27e9969917d322a71a2ef8347e697c4c10b0a38282f9db86487ad4","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086712914","1086712914"
"JuSoCat","36261258","https://github.com/JuSoCat","0x2434cb823194737af084bc0f26331c5c2082488e88191dd8dba709828b16c103","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086609530","1086609530"
"nuhollic","36310669","https://github.com/nuhollic","0x06c3ba9bd559641a2eefc2567921b67368d3bf3adda8f5f0fadf34ffd106d78f","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094178993","1094178993"
"encryptoking","36322533","https://github.com/encryptoking","0x2844a6afb00cfbd8e6c6d91020f6dfb1bae7c737d6b94becedcdc9ef9fa37f71","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091422545","1091422545"
"Cindyka","36345076","https://github.com/Cindyka","0x21e508c4bcd02a3126f38d33b45de4aea4af41491d772ea59f1cb65c3a51fa7d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094141586","1094141586"
"krishanbtc","36412900","https://github.com/krishanbtc","0x2cc2c20c393e6fdf78551fa33529a3efd392be84656c3d2277cf472a0197d9a9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1092878331","1092878331"
"F4Ray","36427930","https://github.com/F4Ray","0x10d314661c325e29e4ab44506e182544cdbb796c921f039fcdafda08c76f6830","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094165289","1094165289"
