userId,user
"755003980689702984","CindyCheng#6510"
"760018183590510603","YellowOwl#1789"
"371208610337914891","FranSar#5868"
"903592649439731722","annis#2632"
"811313524097679411","fynndus#2091"
"386108071463878666","Nakameowdough#0054"
"894891976007221248","paper#6343"
"700497148688597073","thiccfarmer | Yunt#0559"
"760224745119154216","Definewbe#2356"
"545664408722997258","descipher#2098"
"190797419858886657","Kodansha#4820"
"175545621464219648","reee#8937"
"845629647957524531","mrelephant#4286"
"890804253906571265","Howard Peng#5260"
"583634981062967296","Yulesa | (GMT -3)#6593"
"364171022863433730","mazzi#8519"
"835135979207131177","agAgent1x1#1074"
"850048344110006272","jdphil#8726"
"781791173765103646","glen#3926"
"902709420297961514","DD888888#4783"
"393914155205263360","0xWouimbly#4120"
"346269455673720833","LLANGG#7088"
"339566181633622017","nacdelpicryl#3849"
"833007741911302186","Xuanhao Wang#5791"
"266577020429926400","jakel#0001"
"808321739430953020","0x_M#8419"
"803157569610186762","Mora#3827"
"413003063461281793","teawaterwire (theo)#9064"
"408386951092109322","Coleman#7972"
"740558581040021585","Gatling#9229"
"394855351368941578","Nate(σ, σ)#8238"
"848366279785709598","insider#7291"
"196456670170185728","KimJungKill#6390"
"709947362105098271","Bahjiggyboo#9991"
"694749598593318993","crashandlearn#7431"
"701061146802782210","Spaghetti dev#9116"
"898427145100091402","sozin#9326"
"653995291690795016","hiro protagonist#4571"
"752354873105711145","Mike987#1817"
"770381746960334898","hougi_pat#3525"
"809715133399040014","Ajewole26#5784"
"413273714457837568","robzer#9513"
"792001068917194772","cz927986932#8255"
"550396459783028751","Ethernaut#2991"
"399551019324801024","jcch#3204"
"910856039744819200","Yuyan#4907"
"426375238692110346","Izad#9664"
"204580571798700032","mjade#3094"
"836416494744502313","dong50uk#6535"
"395010141914660875","Payom Dousti#2594"
"759293834349379614","white_heart#9284"
"474612792976998401","Zdesu#2870"
"857301345475756042","dng2403#0963"
"202157081850150913","bvalosek#9578"
"821780439525883925","Jerryzli#1454"
"416724321973698610","Seliciu#0980"
"542699919887040512","Optisman#9737"
"283484262638944256","2Cu4#3825"
"916074393032073236","aquaticretain#5148"
"875060517373370388","JMil Ξ s#6706"
